kolam,vertical_symmetry,horizontal_symmetry,rotation_180
145,0.0027586206896547073,0.0,0.0027586206896547073
146,0.0027586206896547064,0.0,0.0027586206896547064
147,0.0027586206896547064,0.0,0.0027586206896547064
148,0.002758620689654706,0.0,0.002758620689654706
149,0.002758620689654706,0.0,0.002758620689654706
150,0.0027586206896547064,0.0,0.0027586206896547064
151,0.0027586206896547064,0.0,0.0027586206896547064
152,0.0027586206896547073,0.0,0.0027586206896547073
153,0.002758620689654707,0.0,0.002758620689654707
154,0.0027586206896547064,0.0,0.0027586206896547064
155,0.0027586206896547056,0.0,0.0027586206896547056
156,0.0027586206896547064,0.0,0.0027586206896547064
157,0.0027586206896547064,0.0,0.0027586206896547064
158,0.002758620689654707,0.0,0.002758620689654707
159,0.0027586206896547056,0.0,0.0027586206896547056
160,0.002758620689654707,0.0,0.002758620689654707
161,0.0027586206896547064,0.0,0.0027586206896547064
162,0.002758620689654706,0.0,0.002758620689654706
163,0.0027586206896547064,0.0,0.0027586206896547064
164,0.0027586206896547073,0.0,0.0027586206896547073
165,0.0027586206896547064,0.0,0.0027586206896547064
166,0.0027586206896547064,0.0,0.0027586206896547064
167,0.002758620689654707,0.0,0.002758620689654707
168,0.002758620689654707,0.0,0.002758620689654707
169,0.0027586206896547073,0.0,0.0027586206896547073
170,0.002758620689654706,0.0,0.002758620689654706
171,0.0027586206896547073,0.0,0.0027586206896547073
172,0.0027586206896547056,0.0,0.0027586206896547056
173,0.002758620689654707,0.0,0.002758620689654707
174,0.0027586206896547064,0.0,0.0027586206896547064
175,0.002758620689654707,0.0,0.002758620689654707
176,0.002758620689654707,0.0,0.002758620689654707
177,0.0027586206896547064,0.0,0.0027586206896547064
178,0.002758620689654707,0.0,0.002758620689654707
179,0.0027586206896547064,0.0,0.0027586206896547064
180,0.0027586206896547064,0.0,0.0027586206896547064
181,0.0027586206896547064,0.0,0.0027586206896547064
182,0.0027586206896547064,0.0,0.0027586206896547064
183,0.0027586206896547073,0.0,0.0027586206896547073
184,0.0027586206896547064,0.0,0.0027586206896547064
185,0.002758620689654706,0.0,0.002758620689654706
186,0.0027586206896547064,0.0,0.0027586206896547064
187,0.0027586206896547073,0.0,0.0027586206896547073
188,0.0027586206896547073,0.0,0.0027586206896547073
189,0.002758620689654707,0.0,0.002758620689654707
190,0.0027586206896547056,0.0,0.0027586206896547056
191,0.0027586206896547064,0.0,0.0027586206896547064
192,0.002758620689654706,0.0,0.002758620689654706
193,0.0027586206896547064,0.0,0.0027586206896547064
194,0.002758620689654707,0.0,0.002758620689654707
195,0.002758620689654707,0.0,0.002758620689654707
196,0.0027586206896547064,0.0,0.0027586206896547064
197,0.0027586206896547064,0.0,0.0027586206896547064
198,0.0027586206896547064,0.0,0.0027586206896547064
199,0.0027586206896547073,0.0,0.0027586206896547073
200,0.002758620689654707,0.0,0.002758620689654707
201,0.0027586206896547064,0.0,0.0027586206896547064
202,0.0027586206896547064,0.0,0.0027586206896547064
203,0.0027586206896547064,0.0,0.0027586206896547064
204,0.0027586206896547064,0.0,0.0027586206896547064
205,0.0027586206896547073,0.0,0.0027586206896547073
206,0.002758620689654707,0.0,0.002758620689654707
207,0.0027586206896547064,0.0,0.0027586206896547064
208,0.0027586206896547064,0.0,0.0027586206896547064
209,0.0027586206896547073,0.0,0.0027586206896547073
210,0.0027586206896547064,0.0,0.0027586206896547064
211,0.0027586206896547064,0.0,0.0027586206896547064
212,0.0027586206896547064,0.0,0.0027586206896547064
213,0.002758620689654707,0.0,0.002758620689654707
214,0.002758620689654707,0.0,0.002758620689654707
215,0.0027586206896547064,0.0,0.0027586206896547064
216,0.0027586206896547064,0.0,0.0027586206896547064
217,0.002758620689654707,0.0,0.002758620689654707
218,0.0027586206896547056,0.0,0.0027586206896547056
219,0.0027586206896547064,0.0,0.0027586206896547064
220,0.0027586206896547064,0.0,0.0027586206896547064
221,0.0027586206896547064,0.0,0.0027586206896547064
222,0.0027586206896547064,0.0,0.0027586206896547064
223,0.0027586206896547064,0.0,0.0027586206896547064
224,0.0027586206896547064,0.0,0.0027586206896547064
225,0.0027586206896547073,0.0,0.0027586206896547073
226,0.0027586206896547073,0.0,0.0027586206896547073
227,0.0027586206896547064,0.0,0.0027586206896547064
228,0.0027586206896547064,0.0,0.0027586206896547064
229,0.0027586206896547073,0.0,0.0027586206896547073
230,0.0027586206896547064,0.0,0.0027586206896547064
231,0.002758620689654706,0.0,0.002758620689654706
232,0.0027586206896547073,0.0,0.0027586206896547073
233,0.0027586206896547064,0.0,0.0027586206896547064
234,0.0027586206896547073,0.0,0.0027586206896547073
235,0.0027586206896547073,0.0,0.0027586206896547073
236,0.0027586206896547064,0.0,0.0027586206896547064
237,0.0027586206896547064,0.0,0.0027586206896547064
238,0.0027586206896547064,0.0,0.0027586206896547064
239,0.0027586206896547064,0.0,0.0027586206896547064
240,0.0027586206896547064,0.0,0.0027586206896547064
241,0.002758620689654707,0.0,0.002758620689654707
242,0.0027586206896547064,0.0,0.0027586206896547064
243,0.0027586206896547073,0.0,0.0027586206896547073
244,0.002758620689654707,0.0,0.002758620689654707
245,0.002758620689654707,0.0,0.002758620689654707
246,0.0027586206896547064,0.0,0.0027586206896547064
247,0.002758620689654707,0.0,0.002758620689654707
248,0.0027586206896547073,0.0,0.0027586206896547073
249,0.002758620689654706,0.0,0.002758620689654706
250,0.002758620689654707,0.0,0.002758620689654707
251,0.002758620689654707,0.0,0.002758620689654707
252,0.0027586206896547064,0.0,0.0027586206896547064
253,0.002758620689654706,0.0,0.002758620689654706
254,0.002758620689654707,0.0,0.002758620689654707
255,0.0027586206896547064,0.0,0.0027586206896547064
256,0.002758620689654707,0.0,0.002758620689654707
257,0.0027586206896547064,0.0,0.0027586206896547064
258,0.002758620689654706,0.0,0.002758620689654706
259,0.0027586206896547064,0.0,0.0027586206896547064
260,0.0027586206896547064,0.0,0.0027586206896547064
261,0.0027586206896547064,0.0,0.0027586206896547064
262,0.0027586206896547064,0.0,0.0027586206896547064
263,0.0027586206896547064,0.0,0.0027586206896547064
264,0.002758620689654707,0.0,0.002758620689654707
265,0.002758620689654706,0.0,0.002758620689654706
266,0.0027586206896547064,0.0,0.0027586206896547064
267,0.002758620689654707,0.0,0.002758620689654707
268,0.0027586206896547064,0.0,0.0027586206896547064
269,0.0027586206896547073,0.0,0.0027586206896547073
270,0.0027586206896547064,0.0,0.0027586206896547064
271,0.002758620689654707,0.0,0.002758620689654707
272,0.0027586206896547064,0.0,0.0027586206896547064
273,0.0027586206896547073,0.0,0.0027586206896547073
274,0.0027586206896547064,0.0,0.0027586206896547064
275,0.0027586206896547064,0.0,0.0027586206896547064
276,0.0027586206896547073,0.0,0.0027586206896547073
277,0.0027586206896547064,0.0,0.0027586206896547064
278,0.002758620689654707,0.0,0.002758620689654707
279,0.0027586206896547064,0.0,0.0027586206896547064
280,0.0027586206896547064,0.0,0.0027586206896547064
281,0.0027586206896547073,0.0,0.0027586206896547073
282,0.002758620689654706,0.0,0.002758620689654706
283,0.0027586206896547064,0.0,0.0027586206896547064
284,0.0027586206896547073,0.0,0.0027586206896547073
285,0.0027586206896547064,0.0,0.0027586206896547064
286,0.002758620689654707,0.0,0.002758620689654707
287,0.0027586206896547064,0.0,0.0027586206896547064
288,0.002758620689654707,0.0,0.002758620689654707
289,0.002758620689654707,0.0,0.002758620689654707
290,0.0027586206896547064,0.0,0.0027586206896547064
291,0.002758620689654707,0.0,0.002758620689654707
292,0.0027586206896547064,0.0,0.0027586206896547064
293,0.0027586206896547064,0.0,0.0027586206896547064
294,0.0027586206896547056,0.0,0.0027586206896547056
295,0.0027586206896547064,0.0,0.0027586206896547064
296,0.0027586206896547064,0.0,0.0027586206896547064
297,0.0027586206896547056,0.0,0.0027586206896547056
298,0.002758620689654706,0.0,0.002758620689654706
299,0.0027586206896547064,0.0,0.0027586206896547064
300,0.002758620689654707,0.0,0.002758620689654707
301,0.0027586206896547073,0.0,0.0027586206896547073
302,0.0027586206896547064,0.0,0.0027586206896547064
303,0.0027586206896547064,0.0,0.0027586206896547064
304,0.0027586206896547073,0.0,0.0027586206896547073
305,0.002758620689654707,0.0,0.002758620689654707
306,0.0027586206896547064,0.0,0.0027586206896547064
307,0.0027586206896547064,0.0,0.0027586206896547064
308,0.0027586206896547064,0.0,0.0027586206896547064
309,0.0027586206896547064,0.0,0.0027586206896547064
310,0.0027586206896547064,0.0,0.0027586206896547064
311,0.0027586206896547064,0.0,0.0027586206896547064
312,0.002758620689654707,0.0,0.002758620689654707
313,0.0027586206896547064,0.0,0.0027586206896547064
314,0.0027586206896547064,0.0,0.0027586206896547064
315,0.0027586206896547056,0.0,0.0027586206896547056
316,0.0027586206896547064,0.0,0.0027586206896547064
317,0.002758620689654707,0.0,0.002758620689654707
318,0.0027586206896547064,0.0,0.0027586206896547064
319,0.0027586206896547064,0.0,0.0027586206896547064
320,0.0027586206896547064,0.0,0.0027586206896547064
321,0.0027586206896547064,0.0,0.0027586206896547064
322,0.002758620689654707,0.0,0.002758620689654707
323,0.0027586206896547056,0.0,0.0027586206896547056
324,0.0027586206896547073,0.0,0.0027586206896547073
325,0.002758620689654707,0.0,0.002758620689654707
326,0.0027586206896547056,0.0,0.0027586206896547056
327,0.0027586206896547077,0.0,0.0027586206896547077
328,0.0027586206896547064,0.0,0.0027586206896547064
329,0.002758620689654707,0.0,0.002758620689654707
330,0.0027586206896547064,0.0,0.0027586206896547064
331,0.0027586206896547073,0.0,0.0027586206896547073
332,0.0027586206896547056,0.0,0.0027586206896547056
333,0.002758620689654706,0.0,0.002758620689654706
334,0.002758620689654707,0.0,0.002758620689654707
335,0.0027586206896547064,0.0,0.0027586206896547064
336,0.002758620689654707,0.0,0.002758620689654707
337,0.002758620689654706,0.0,0.002758620689654706
338,0.0027586206896547073,0.0,0.0027586206896547073
339,0.0027586206896547064,0.0,0.0027586206896547064
340,0.0027586206896547064,0.0,0.0027586206896547064
341,0.002758620689654707,0.0,0.002758620689654707
342,0.0027586206896547064,0.0,0.0027586206896547064
343,0.0027586206896547073,0.0,0.0027586206896547073
344,0.0027586206896547064,0.0,0.0027586206896547064
345,0.002758620689654706,0.0,0.002758620689654706
346,0.0027586206896547064,0.0,0.0027586206896547064
347,0.002758620689654706,0.0,0.002758620689654706
348,0.0027586206896547064,0.0,0.0027586206896547064
349,0.002758620689654706,0.0,0.002758620689654706
350,0.0027586206896547064,0.0,0.0027586206896547064
351,0.0027586206896547064,0.0,0.0027586206896547064
352,0.0027586206896547073,0.0,0.0027586206896547073
353,0.002758620689654707,0.0,0.002758620689654707
354,0.0027586206896547073,0.0,0.0027586206896547073
355,0.0027586206896547073,0.0,0.0027586206896547073
356,0.0027586206896547073,0.0,0.0027586206896547073
357,0.0027586206896547064,0.0,0.0027586206896547064
358,0.0027586206896547073,0.0,0.0027586206896547073
359,0.0027586206896547064,0.0,0.0027586206896547064
360,0.0027586206896547056,0.0,0.0027586206896547056
361,0.0027586206896547064,0.0,0.0027586206896547064
362,0.002758620689654707,0.0,0.002758620689654707
363,0.0027586206896547073,0.0,0.0027586206896547073
364,0.0027586206896547064,0.0,0.0027586206896547064
365,0.0027586206896547064,0.0,0.0027586206896547064
366,0.002758620689654707,0.0,0.002758620689654707
367,0.002758620689654707,0.0,0.002758620689654707
368,0.002758620689654707,0.0,0.002758620689654707
369,0.002758620689654707,0.0,0.002758620689654707
370,0.002758620689654707,0.0,0.002758620689654707
371,0.0027586206896547056,0.0,0.0027586206896547056
372,0.002758620689654706,0.0,0.002758620689654706
373,0.0027586206896547064,0.0,0.0027586206896547064
374,0.0027586206896547073,0.0,0.0027586206896547073
375,0.0027586206896547064,0.0,0.0027586206896547064
376,0.002758620689654707,0.0,0.002758620689654707
377,0.002758620689654707,0.0,0.002758620689654707
378,0.0027586206896547064,0.0,0.0027586206896547064
379,0.0027586206896547064,0.0,0.0027586206896547064
380,0.0027586206896547064,0.0,0.0027586206896547064
381,0.0027586206896547064,0.0,0.0027586206896547064
382,0.0027586206896547064,0.0,0.0027586206896547064
383,0.0027586206896547064,0.0,0.0027586206896547064
384,0.002758620689654707,0.0,0.002758620689654707
385,0.0027586206896547064,0.0,0.0027586206896547064
386,0.0027586206896547064,0.0,0.0027586206896547064
387,0.0027586206896547056,0.0,0.0027586206896547056
388,0.002758620689654707,0.0,0.002758620689654707
389,0.0027586206896547073,0.0,0.0027586206896547073
390,0.002758620689654707,0.0,0.002758620689654707
391,0.0027586206896547073,0.0,0.0027586206896547073
392,0.0027586206896547073,0.0,0.0027586206896547073
393,0.002758620689654707,0.0,0.002758620689654707
394,0.0027586206896547064,0.0,0.0027586206896547064
395,0.0027586206896547073,0.0,0.0027586206896547073
396,0.0027586206896547064,0.0,0.0027586206896547064
397,0.0027586206896547064,0.0,0.0027586206896547064
398,0.002758620689654707,0.0,0.002758620689654707
399,0.0027586206896547064,0.0,0.0027586206896547064
400,0.0027586206896547073,0.0,0.0027586206896547073
